country,question_id,question,answer_2024,explanation_2024,review_note,updated_answer,updated_explanation,final_answer,final_explanation,dimension,response_scoring,awarded_score
Austria,P22,"Do data publication plans exist at public body level?

For Explanation:
* If yes, please provide the URL and briefly highlight the key aspects covered.",yes,"o The City of Vienna has an offical publication plan. Open government data is published quarterly and presented at OGD meet-up events (https://digitales.wien.gv.at/wp-content/uploads/sites/47/2023/04/50-Programm-Open-Data-MeetUp-Wien.pdf)
o The Federal Act on the Re-Use of Public Sector Information stipulates that each public sector body or public undertaking at federal level needs to nominate an Open Data Coordinator. The coordinators have to implement screenings or publication plans.
o At federal level a screening of data has been performed in 2017 (OGD-Screening im Bund), checking existing government data regarding its suitability for open government data. As a whole, more than 700 datasets have been identified, many of them having been published soon thereafter. (https://www.data.gv.at/2017/11/03/open-government-data-screening-im-bund-bericht-zu-potentiell-ogd-faehigen-datensaetzen-publiziert/)",Confirm,,,yes,"o The City of Vienna has an offical publication plan. Open government data is published quarterly and presented at OGD meet-up events (https://digitales.wien.gv.at/wp-content/uploads/sites/47/2023/04/50-Programm-Open-Data-MeetUp-Wien.pdf)
o The Federal Act on the Re-Use of Public Sector Information stipulates that each public sector body or public undertaking at federal level needs to nominate an Open Data Coordinator. The coordinators have to implement screenings or publication plans.
o At federal level a screening of data has been performed in 2017 (OGD-Screening im Bund), checking existing government data regarding its suitability for open government data. As a whole, more than 700 datasets have been identified, many of them having been published soon thereafter. (https://www.data.gv.at/2017/11/03/open-government-data-screening-im-bund-bericht-zu-potentiell-ogd-faehigen-datensaetzen-publiziert/)",Policy,"{'yes': 20, 'no': 0}",20.0
Austria,P24,"Are there processes to ensure that the open data policies/strategy previously mentioned are updated and revised as needed?

For explanation:
* If yes, please describe the process and any recent updates made to strategy/policy",yes,"Upon initiative of the State Secretary for Digitalisation in 2023, the decision has been made to elaborate a first national data strategy for Austria. From 2023 until 2024 expert interviews, and discussions with relevant stakeholders and institutions have been performed. The elaboration process also included accompanying research. The draft of the strategy was circulated among ministries for feedback. In May 2024, a public consultation was performed on the draft of the strategy allowing for public feedback. In the aftermath, the data strategy has been finalised according to the feedback provided. The data strategy should be published in 2024 as an adaptive strategy with the possibility of amending it whenever necessary. The data strategy will contain about 45 measures to be addressed. A key element will be the establishment of regular discussion fora on measures of the strategy and further necessary improvements (e.g. an administrative forum and a public forum for stakeholders).",Complement,Yes,"According to the Data Strategy for Austria that was published in October 2024, open data policies will be revised by a new Open Data Strategy. The data strategy itself was designed as an adaptive strategy with the possibility of amending it whenever necessary. The data strategy contains about 45 measures to be addressed. A key element will be the establishment of regular discussion fora on measures of the strategy and further necessary improvements (e.g. an administrative forum and a public forum for stakeholders).",Yes,"According to the Data Strategy for Austria that was published in October 2024, open data policies will be revised by a new Open Data Strategy. The data strategy itself was designed as an adaptive strategy with the possibility of amending it whenever necessary. The data strategy contains about 45 measures to be addressed. A key element will be the establishment of regular discussion fora on measures of the strategy and further necessary improvements (e.g. an administrative forum and a public forum for stakeholders).",Policy,"{'yes': 20, 'no': 0}",20.0
Austria,P3,"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.",yes,"2024:
The State/City of Vienna pursues a ""Data Excellence strategy"" with the leading principle ""open by default"" for open data 
(https://go.gv.at/l9dxstrategie). The Open Data Strategy of the City of Vienna has been evaluated in 2024 (https://www.data.gv.at/2024/05/06/evaluation-der-open-data-strategie-der-stadt-wien)
2023:
The State/City of Vienna pursues a ""Data Excellence strategy"" with the leading principle ""open by default"" for open data 
(https://go.gv.at/l9dxstrategie)",Confirm,,,yes,"2024:
The State/City of Vienna pursues a ""Data Excellence strategy"" with the leading principle ""open by default"" for open data 
(https://go.gv.at/l9dxstrategie). The Open Data Strategy of the City of Vienna has been evaluated in 2024 (https://www.data.gv.at/2024/05/06/evaluation-der-open-data-strategie-der-stadt-wien)
2023:
The State/City of Vienna pursues a ""Data Excellence strategy"" with the leading principle ""open by default"" for open data 
(https://go.gv.at/l9dxstrategie)",Policy,"{'yes': 20, 'no': 0, 'not applicable': 20}",20.0
Austria,P4,"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.",yes,"The Austrian Digital Action Plan on Data contains a leading theme on data. The aim is to position Austria as digital innovation location. Data solidarity should be achieved through sharing data. Main measures are e.g.: Increased social and economic added value through better use of data, better data literacy through education and training, Austria as an attractive data location for science and the economy, ensuring transparency and the traceable use of data. The Action Plan also envisages the establishment of a national data hub.",Complement,Yes,"o The Austrian Digital Action Plan on Data contains a leading theme on data. The aim is to position Austria as digital innovation location. Data solidarity should be achieved through sharing data. Main measures are e.g.: Increased social and economic added value through better use of data, better data literacy through education and training, Austria as an attractive data location for science and the economy, ensuring transparency and the traceable use of data. The Action Plan also envisages the establishment of a national data hub. (https://www.digitalaustria.gv.at/Strategien/Digitaler-Aktionsplan.html)
o The Data Strategy for Austria (2024) contains 45 measures to boost the re-use of data. Amongst those measures, an opn data strategy should be developed (https://www.digitalaustria.gv.at/Strategien/Datenstrategie.html)",Yes,"o The Austrian Digital Action Plan on Data contains a leading theme on data. The aim is to position Austria as digital innovation location. Data solidarity should be achieved through sharing data. Main measures are e.g.: Increased social and economic added value through better use of data, better data literacy through education and training, Austria as an attractive data location for science and the economy, ensuring transparency and the traceable use of data. The Action Plan also envisages the establishment of a national data hub. (https://www.digitalaustria.gv.at/Strategien/Digitaler-Aktionsplan.html)
o The Data Strategy for Austria (2024) contains 45 measures to boost the re-use of data. Amongst those measures, an opn data strategy should be developed (https://www.digitalaustria.gv.at/Strategien/Datenstrategie.html)",Policy,"{'yes': 20, 'no': 0}",20.0
Belgium,I1,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",yes,"Use of non-private data in an easy (for automated tools) to process format by businesses, NPOs or other administrations than the administration publishing the data, in practical tools, services, visualisations or analyses",Confirm,,,yes,"Use of non-private data in an easy (for automated tools) to process format by businesses, NPOs or other administrations than the administration publishing the data, in practical tools, services, visualisations or analyses",Impact,"{'yes': 20, 'no': 0}",20.0
Belgium,I10,"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?",no,Rather on an ad-hoc basis,Confirm,,,no,Rather on an ad-hoc basis,Impact,"{'yes': 20, 'no': 0, ""i don't know"": 0}",0.0
Belgium,I12,"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",i don't know,"As far as I know no hard figures, though impact is mentioned in projects and initiatives",Change,No,"Walloon Region: publication of a best practices document for local authorities: https://nadi.unamur.be/research/smart-cities-and-e-government/open-data-guide -  https://www.sciencedirect.com/science/article/abs/pii/S0740624X21000265 - This article uses open data to create a Dashboard to visualize data from the city of Liège, demonstrating the value of open data for local administrations (i.e. administrations not only publishing but also using open data)",No,"Walloon Region: publication of a best practices document for local authorities: https://nadi.unamur.be/research/smart-cities-and-e-government/open-data-guide -  https://www.sciencedirect.com/science/article/abs/pii/S0740624X21000265 - This article uses open data to create a Dashboard to visualize data from the city of Liège, demonstrating the value of open data for local administrations (i.e. administrations not only publishing but also using open data)",Impact,"{'yes': 20, 'no': 0, ""i don't know"": 0}",0.0
Belgium,I17,"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",yes,"The Flemish Provinces use the open data dashboard on SDGs to track progress of municipalities in achieving these goals, see also https://cdn.flxml.eu/m-7e0dddf44851770ee2dd728bc7106997da4f071c55402b3d, and to create the ""Kansarmoede Atlas"" (see https://kansarmoede.west-vlaanderen.be/gwportal/apps/sites/#/kansarmoede-atlas) and reports to create awareness on gender inequality in pensions (e.g. https://www.plan.be/uploaded/documents/202404250919410.REP_PensionGenderCapsEU_Report2_13001.pdf)",Confirm,,,yes,"The Flemish Provinces use the open data dashboard on SDGs to track progress of municipalities in achieving these goals, see also https://cdn.flxml.eu/m-7e0dddf44851770ee2dd728bc7106997da4f071c55402b3d, and to create the ""Kansarmoede Atlas"" (see https://kansarmoede.west-vlaanderen.be/gwportal/apps/sites/#/kansarmoede-atlas) and reports to create awareness on gender inequality in pensions (e.g. https://www.plan.be/uploaded/documents/202404250919410.REP_PensionGenderCapsEU_Report2_13001.pdf)",Impact,"{'yes': 20, 'no': 0, ""i don't know"": 0}",20.0
Belgium,I2,"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.",yes,"Yearly search for thesises published with/about open data (https://data.gov.be/nl/studies-en-thesissen) and looking for reuse (also on regional level, see https://www.vlaanderen.be/datavindplaats/inspiratie)",Complement,,Slightly different location for the studies: https://data.gov.be/en/documentation/studies-and-dissertations,yes,Slightly different location for the studies: https://data.gov.be/en/documentation/studies-and-dissertations,Impact,"{'yes': 20, 'no': 0, ""i don't know"": 0}",20.0
Belgium,I27,"Is any data on the economic impact (e.g. GDP, employment, productivity, innovation,  new businesses created etc.) of open data available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please specify what kind of data source proves this impact and provide the URLs to this data.",yes,"Linked Open Data Economie (Dutch), on economic impact of data from the Cities of Bruges and Ghent (https://stad.gent/sites/default/files/media/documents/LODE%20finaal%20rapport.pdf)",Confirm,,,yes,"Linked Open Data Economie (Dutch), on economic impact of data from the Cities of Bruges and Ghent (https://stad.gent/sites/default/files/media/documents/LODE%20finaal%20rapport.pdf)",Impact,"{'yes': 20, 'no': 0, ""i don't know"": 0}",20.0
Belgium,I9,"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.",yes,,Confirm,Yes,,Yes,,Impact,"{'yes': 40, 'no': 0, ""i don't know"": 0}",40.0
Belgium,P1,"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.",yes,"2024:
The law (https://www.ejustice.just.fgov.be/eli/loi/2016/05/04/2016009236/justel) has been updated to transpose the 3rd version of the EU PSI/Open Data Directive
2023:
Transposition of 2nd version of the PSI (3rd version in progress) https://www.ejustice.just.fgov.be/eli/loi/2016/05/04/2016009236/justel  (Loi relative à la réutilisation des informations du secteur public)",Confirm,,,yes,"2024:
The law (https://www.ejustice.just.fgov.be/eli/loi/2016/05/04/2016009236/justel) has been updated to transpose the 3rd version of the EU PSI/Open Data Directive
2023:
Transposition of 2nd version of the PSI (3rd version in progress) https://www.ejustice.just.fgov.be/eli/loi/2016/05/04/2016009236/justel  (Loi relative à la réutilisation des informations du secteur public)",Policy,"{'yes': 40, 'no': 0, 'other': 40}",40.0
Belgium,P13,"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model",yes,"At federal level there is an open data task force and ""FedAX"" network of CDOs + informal meetings with members of the ""OpenKnowledge Foundation"" + by allowing anyone to request access to datasets, similar initiatives/governance at regional level
At Walloon Level, this is carried out by the SPW",Confirm,,,yes,"At federal level there is an open data task force and ""FedAX"" network of CDOs + informal meetings with members of the ""OpenKnowledge Foundation"" + by allowing anyone to request access to datasets, similar initiatives/governance at regional level
At Walloon Level, this is carried out by the SPW",Policy,"{'yes': 40, 'no': 0}",40.0
Belgium,P16,"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.",all public bodies,All 3 Regions have open data initiatives + a few larger cities (smaller cities require support of Regional level),Confirm,,,all public bodies,All 3 Regions have open data initiatives + a few larger cities (smaller cities require support of Regional level),Policy,"{'all public bodies': 20, 'the majority of public bodies': 15, 'approximately half of the public bodies': 10, 'few public bodies': 5, 'none of the public bodies': 0, 'not applicable': 20}",20.0
Belgium,P2,"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.",yes,"https://data.gov.be/sites/default/files/public/content/compressed_fr-strategisch-dossier.pdf, focus on ""open by default"", economic aspects, and interaction with the community",Complement,,"Slight change of location, file can now be found on https://data.gov.be/sites/default/files/files/content/compressed_nlstrategisch-dossier.pdf",yes,"Slight change of location, file can now be found on https://data.gov.be/sites/default/files/files/content/compressed_nlstrategisch-dossier.pdf",Policy,"{'yes': 40, 'no': 0, 'not applicable': 40}",40.0
Belgium,P22,"Do data publication plans exist at public body level?

For Explanation:
* If yes, please provide the URL and briefly highlight the key aspects covered.",yes,"2024:
Only for some datasets, like Statistics and Cadaster at federal level. At Walloon Region, there is a plan (https://spw.wallonie.be/sites/default/files/2024-06/Memorandum_complet_SPW%20EER%20%281%29_0.pdf)
2023:
Only for Statistics and Cadaster data, eg. https://statbel.fgov.be/fr/calendar",Confirm,,,yes,"2024:
Only for some datasets, like Statistics and Cadaster at federal level. At Walloon Region, there is a plan (https://spw.wallonie.be/sites/default/files/2024-06/Memorandum_complet_SPW%20EER%20%281%29_0.pdf)
2023:
Only for Statistics and Cadaster data, eg. https://statbel.fgov.be/fr/calendar",Policy,"{'yes': 20, 'no': 0}",20.0
