country,question_id,dimension,question,query_no,query,title,url,saved_path,file_type
Estonia,I12,Impact,"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",1,Eesti avaandmete mõju valitsuse efektiivsusele raport,eRes jätkustrateegia - A4 - v2,https://www.e-resident.gov.ee/wp-content/uploads/2026/01/E-residentsuse-jatkustrateegia-2026-2029.pdf,debug_estonia_rerun\downloads\I12\doc_1.pdf,pdf
Estonia,I12,Impact,"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",1,Eesti avaandmete mõju valitsuse efektiivsusele raport,Algab e-residentide biomeetriliste andmete kogumise äpi väljatöötamine,https://www.e-resident.gov.ee/et/blog/posts/algab-e-residentide-biomeetriliste-andmete-kogumise-api-valjatootamine/,debug_estonia_rerun\downloads\I12\doc_2.html,html
Estonia,I12,Impact,"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",1,Eesti avaandmete mõju valitsuse efektiivsusele raport,E-residendid tõid mullu riigikassasse rekordilised 125 miljonit eurot,https://www.e-resident.gov.ee/et/blog/posts/e-residendid-toid-mullu-riigikassasse-rekordilised-125-miljonit-eurot/,debug_estonia_rerun\downloads\I12\doc_3.html,html
Estonia,I12,Impact,"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",5,Estonia open data impact assessment government transparency,Secure and trusted business environment for entrepreneurs,https://www.e-resident.gov.ee/do-business-securely/,debug_estonia_rerun\downloads\I12\doc_4.html,html
Estonia,I12,Impact,"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",5,Estonia open data impact assessment government transparency,Estonian companies have high levels of transparency | E-Residency,https://www.e-resident.gov.ee/blog/posts/heres-why-estonian-companies-have-high-levels-of-transparency/,debug_estonia_rerun\downloads\I12\doc_5.html,html
Estonia,I12,Impact,"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",5,Estonia open data impact assessment government transparency,"Five years of e-Residency: past, present and future",https://www.e-resident.gov.ee/blog/posts/five-years-of-e-residency-past-present-and-future/,debug_estonia_rerun\downloads\I12\doc_6.html,html
Estonia,I12,Impact,"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",5,Estonia open data impact assessment government transparency,Benefits of becoming an e-resident – Knowledge base,https://learn.e-resident.gov.ee/hc/en-gb/articles/360000625098-Benefits-of-becoming-an-e-resident,debug_estonia_rerun\downloads\I12\doc_7.html,html
Estonia,I12,Impact,"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",5,Estonia open data impact assessment government transparency,e-Residency of Estonia | Apply and start an EU company online,https://www.e-resident.gov.ee/,debug_estonia_rerun\downloads\I12\doc_8.html,html
Estonia,I17,Impact,"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",1,Eesti avaandmete sotsiaalne mõju raport site:riigiteataja.ee,Avaliku teabe seaduse muutmise seadus-Riigi Teataja,https://www.riigiteataja.ee/et/akt/130112021003,debug_estonia_rerun\downloads\I17\doc_1.html,html
Estonia,I17,Impact,"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",1,Eesti avaandmete sotsiaalne mõju raport site:riigiteataja.ee,"""Eesti riikliku arengukava Euroopa Liidu struktuurifondide kasutuselevõtuks - ühtne programmdokument aastateks 2004-2006"" meetme nr 4.5 ""Infoühiskonna arendamine"" tingimused ja toetuse kasutamise kava koostamise kord – Riigi Teataja",https://www.riigiteataja.ee/aktilisa/0000/1300/1357/lisa1.pdf,debug_estonia_rerun\downloads\I17\doc_2.pdf,pdf
Estonia,I17,Impact,"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",1,Eesti avaandmete sotsiaalne mõju raport site:riigiteataja.ee,Lahendi andmed–Riigi Teataja,https://www.riigiteataja.ee/kohtulahendid/detailid.html?id=434422645,debug_estonia_rerun\downloads\I17\doc_3.html,html
Estonia,I17,Impact,"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",1,Eesti avaandmete sotsiaalne mõju raport site:riigiteataja.ee,128062024037,https://www.riigiteataja.ee/akt/128062024037.txt,debug_estonia_rerun\downloads\I17\doc_4.html,html
Estonia,I17,Impact,"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",1,Eesti avaandmete sotsiaalne mõju raport site:riigiteataja.ee,"Sotsiaalhoolekandealaste statistiliste aruannete koostamise nõuded, andmete koosseis ja esitamise kord–Riigi Teataja",https://www.riigiteataja.ee/akt/128032024007,debug_estonia_rerun\downloads\I17\doc_5.html,html
Estonia,I17,Impact,"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",1,Eesti avaandmete sotsiaalne mõju raport site:riigiteataja.ee,Sotsiaalteenuste ja -toetuste andmeregistri põhimäärus-Riigi Teataja,https://www.riigiteataja.ee/et/akt/117082022009,debug_estonia_rerun\downloads\I17\doc_6.html,html
Estonia,I17,Impact,"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",1,Eesti avaandmete sotsiaalne mõju raport site:riigiteataja.ee,Eesti geenivaramu põhimäärus-Riigi Teataja,https://www.riigiteataja.ee/et/akt/124032026003,debug_estonia_rerun\downloads\I17\doc_7.html,html
Estonia,I17,Impact,"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",1,Eesti avaandmete sotsiaalne mõju raport site:riigiteataja.ee,77622,https://www.riigiteataja.ee/akt/77622.txt,debug_estonia_rerun\downloads\I17\doc_8.html,html
Estonia,I2,Impact,"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.",3,avaandmete taaskasutuse indikaatorid Eesti valitsus,eRes jätkustrateegia - A4 - v2,https://www.e-resident.gov.ee/wp-content/uploads/2026/01/E-residentsuse-jatkustrateegia-2026-2029.pdf,debug_estonia_rerun\downloads\I2\doc_1.pdf,pdf
Estonia,I2,Impact,"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.",4,Estonia open data reuse monitoring report,Estonian companies have high levels of transparency | E-Residency,https://www.e-resident.gov.ee/blog/posts/heres-why-estonian-companies-have-high-levels-of-transparency/,debug_estonia_rerun\downloads\I2\doc_2.html,html
Estonia,I2,Impact,"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.",4,Estonia open data reuse monitoring report,Business Register deleting Estonian companies,https://www.e-resident.gov.ee/blog/posts/business-register-deleting-estonian-companies/,debug_estonia_rerun\downloads\I2\doc_3.html,html
Estonia,I2,Impact,"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.",4,Estonia open data reuse monitoring report,Accounting – Knowledge base,https://learn.e-resident.gov.ee/hc/en-gb/articles/360002569617-Accounting,debug_estonia_rerun\downloads\I2\doc_4.html,html
Estonia,I2,Impact,"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.",4,Estonia open data reuse monitoring report,E-RESIDENCY MARKETPLACE MEMBERS’ CODE OF CONDUCT AND MARKETING GUIDELINES,https://www.e-resident.gov.ee/wp-content/uploads/2025/05/mp-code-of-conduct.pdf,debug_estonia_rerun\downloads\I2\doc_5.pdf,pdf
Estonia,I2,Impact,"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.",4,Estonia open data reuse monitoring report,E-residents generated a record €125 million state revenue in 2025,https://www.e-resident.gov.ee/blog/posts/e-residents-generated-record-state-revenue-2025/,debug_estonia_rerun\downloads\I2\doc_6.html,html
Estonia,I2,Impact,"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.",4,Estonia open data reuse monitoring report,e-Residency reports close to 40 million euros in state revenue,https://www.e-resident.gov.ee/blog/posts/eresidency-reports-40million-state-revenue/,debug_estonia_rerun\downloads\I2\doc_7.html,html
Estonia,I27,Impact,"Is any data on the economic impact (e.g. GDP, employment, productivity, innovation,  new businesses created etc.) of open data available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please specify what kind of data source proves this impact and provide the URLs to this data.",1,Eesti avaandmete majanduslik mõju raport,E-residendid tõid mullu riigikassasse rekordilised 125 miljonit eurot,https://www.e-resident.gov.ee/et/blog/posts/e-residendid-toid-mullu-riigikassasse-rekordilised-125-miljonit-eurot/,debug_estonia_rerun\downloads\I27\doc_1.html,html
Estonia,I27,Impact,"Is any data on the economic impact (e.g. GDP, employment, productivity, innovation,  new businesses created etc.) of open data available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please specify what kind of data source proves this impact and provide the URLs to this data.",1,Eesti avaandmete majanduslik mõju raport,eRes jätkustrateegia - A4 - v2,https://www.e-resident.gov.ee/wp-content/uploads/2026/01/E-residentsuse-jatkustrateegia-2026-2029.pdf,debug_estonia_rerun\downloads\I27\doc_2.pdf,pdf
Estonia,I27,Impact,"Is any data on the economic impact (e.g. GDP, employment, productivity, innovation,  new businesses created etc.) of open data available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please specify what kind of data source proves this impact and provide the URLs to this data.",1,Eesti avaandmete majanduslik mõju raport,Mis on e-residentsus?,https://www.e-resident.gov.ee/et/,debug_estonia_rerun\downloads\I27\doc_3.html,html
Estonia,I27,Impact,"Is any data on the economic impact (e.g. GDP, employment, productivity, innovation,  new businesses created etc.) of open data available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please specify what kind of data source proves this impact and provide the URLs to this data.",4,avaandmed innovatsioon ja ettevõtlus Eesti ametlik raport,E-residents generated a record €125 million state revenue in 2025,https://www.e-resident.gov.ee/blog/posts/e-residents-generated-record-state-revenue-2025/,debug_estonia_rerun\downloads\I27\doc_4.html,html
Estonia,I27,Impact,"Is any data on the economic impact (e.g. GDP, employment, productivity, innovation,  new businesses created etc.) of open data available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please specify what kind of data source proves this impact and provide the URLs to this data.",4,avaandmed innovatsioon ja ettevõtlus Eesti ametlik raport,Pea iga teise Eesti idufirma asutamisel osalevad e-residendid,https://www.e-resident.gov.ee/et/blog/posts/pea-iga-teise-eesti-idufirma-asutamisel-osalevad-e-residendid/,debug_estonia_rerun\downloads\I27\doc_5.html,html
Estonia,I9,Impact,"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.",4,Estonia open data reuse user needs assessment official report,Key facts about Estonia for partners and investors – Knowledge base,https://learn.e-resident.gov.ee/hc/en-gb/articles/40427590348817-Key-facts-about-Estonia-for-partners-and-investors,debug_estonia_rerun\downloads\I9\doc_1.html,html
Estonia,I9,Impact,"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.",5,avaliku sektori avatud andmete taaskasutuse stimuleerimine Eesti strateegia,eRes jätkustrateegia - A4 - v2,https://www.e-resident.gov.ee/wp-content/uploads/2026/01/E-residentsuse-jatkustrateegia-2026-2029.pdf,debug_estonia_rerun\downloads\I9\doc_2.pdf,pdf
Estonia,P1,Policy,"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.",1,Eesti riiklik avatud andmete poliitika seadus direktiivi implementation,Avaleht | Rahandusministeerium,https://fin.ee/,debug_estonia_rerun\downloads\P1\doc_1.html,html
Estonia,P1,Policy,"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.",1,Eesti riiklik avatud andmete poliitika seadus direktiivi implementation,Accelerate Estonia - Making illegal things legal.,https://accelerate.ee/,debug_estonia_rerun\downloads\P1\doc_2.html,html
Estonia,P1,Policy,"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.",1,Eesti riiklik avatud andmete poliitika seadus direktiivi implementation,Usaldusteenus | Eesti usaldusnimekiri,https://sr.riik.ee/et/usaldusteenus/,debug_estonia_rerun\downloads\P1\doc_3.html,html
Estonia,P1,Policy,"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.",1,Eesti riiklik avatud andmete poliitika seadus direktiivi implementation,e-Estonia - We have built a digital society & we can show you how,https://e-estonia.com/,debug_estonia_rerun\downloads\P1\doc_4.html,html
Estonia,P1,Policy,"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.",1,Eesti riiklik avatud andmete poliitika seadus direktiivi implementation,Avaleht | Justiits- ja Digiministeerium,https://justdigi.ee/,debug_estonia_rerun\downloads\P1\doc_5.html,html
Estonia,P1,Policy,"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.",3,Eesti avaliku sektori avatud andmete strateegia ametlik dokument,eRes jätkustrateegia - A4 - v2,https://www.e-resident.gov.ee/wp-content/uploads/2026/01/E-residentsuse-jatkustrateegia-2026-2029.pdf,debug_estonia_rerun\downloads\P1\doc_6.pdf,pdf
Estonia,P1,Policy,"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.",4,Estonia national open data policy legislation transposition Open Data Directive,Avaleht | Eesti Vabariigi Valitsus,http://gov.ee/,debug_estonia_rerun\downloads\P1\doc_7.html,html
Estonia,P1,Policy,"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.",4,Estonia national open data policy legislation transposition Open Data Directive,11 firsts from Estonia – one of the most innovative countries,https://www.e-resident.gov.ee/blog/posts/firsts-from-estonia/,debug_estonia_rerun\downloads\P1\doc_8.html,html
Estonia,P13,Policy,"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model",1,Eesti avatud andmete juhtimismudel valitsus struktuur,Usaldusteenus | Eesti usaldusnimekiri,https://sr.riik.ee/et/usaldusteenus/,debug_estonia_rerun\downloads\P13\doc_1.html,html
Estonia,P13,Policy,"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model",1,Eesti avatud andmete juhtimismudel valitsus struktuur,(I) Tegevusjuhend,https://www.e-resident.gov.ee/wp-content/uploads/2024/09/eestikeelne-MP-code-of-conduct_amended_2024-09.docx.pdf,debug_estonia_rerun\downloads\P13\doc_2.pdf,pdf
Estonia,P13,Policy,"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model",2,avatud andmete koordineerimine Eesti poliitika dokument,eRes jätkustrateegia - A4 - v2,https://www.e-resident.gov.ee/wp-content/uploads/2026/01/E-residentsuse-jatkustrateegia-2026-2029.pdf,debug_estonia_rerun\downloads\P13\doc_3.pdf,pdf
Estonia,P13,Policy,"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model",2,avatud andmete koordineerimine Eesti poliitika dokument,Algab e-residentide biomeetriliste andmete kogumise äpi väljatöötamine,https://www.e-resident.gov.ee/et/blog/posts/algab-e-residentide-biomeetriliste-andmete-kogumise-api-valjatootamine/,debug_estonia_rerun\downloads\P13\doc_4.html,html
Estonia,P13,Policy,"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model",3,Estonia open data governance ministry report,Avaleht | Eesti Vabariigi Valitsus,http://gov.ee/,debug_estonia_rerun\downloads\P13\doc_5.html,html
Estonia,P16,Policy,"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.",2,avatud andmed kohaliku omavalitsuse struktuur ja rakendamine Eestis,Avaleht | Riigikantselei,http://www.riik.ee/riigikantselei,debug_estonia_rerun\downloads\P16\doc_1.html,html
Estonia,P16,Policy,"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.",5,Estonia open data initiatives public regional authorities official report,11 firsts from Estonia – one of the most innovative countries,https://www.e-resident.gov.ee/blog/posts/firsts-from-estonia/,debug_estonia_rerun\downloads\P16\doc_2.html,html
Estonia,P16,Policy,"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.",5,Estonia open data initiatives public regional authorities official report,Need help? Here's who to contact! – Knowledge base,https://learn.e-resident.gov.ee/hc/en-gb/articles/360001353378-Need-help-Here-s-who-to-contact,debug_estonia_rerun\downloads\P16\doc_3.html,html
Estonia,P16,Policy,"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.",5,Estonia open data initiatives public regional authorities official report,Key facts about Estonia for partners and investors – Knowledge base,https://learn.e-resident.gov.ee/hc/en-gb/articles/40427590348817-Key-facts-about-Estonia-for-partners-and-investors,debug_estonia_rerun\downloads\P16\doc_4.html,html
Estonia,P16,Policy,"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.",5,Estonia open data initiatives public regional authorities official report,"Five years of e-Residency: past, present and future",https://www.e-resident.gov.ee/blog/posts/five-years-of-e-residency-past-present-and-future/,debug_estonia_rerun\downloads\P16\doc_5.html,html
Estonia,P16,Policy,"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.",5,Estonia open data initiatives public regional authorities official report,Why wait for EU Inc. when Estonia's already got e-Residency?,https://www.e-resident.gov.ee/blog/posts/why-wait-for-eu-inc/,debug_estonia_rerun\downloads\P16\doc_6.html,html
Estonia,P16,Policy,"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.",5,Estonia open data initiatives public regional authorities official report,How many Estonian e-residents are there? | e-Residency statistics,https://www.e-resident.gov.ee/dashboard/,debug_estonia_rerun\downloads\P16\doc_7.html,html
Estonia,P2,Policy,"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.",1,Eesti riiklik avaandmete strateegia dokument,eRes jätkustrateegia - A4 - v2,https://www.e-resident.gov.ee/wp-content/uploads/2026/01/E-residentsuse-jatkustrateegia-2026-2029.pdf,debug_estonia_rerun\downloads\P2\doc_1.pdf,pdf
