country,question_id,dimension,question,final_answer_selected,score_suggestion,justification_generated,confidence,evidence_sufficiency,mode,response_scoring_x,response_scoring_y
Belgium,I27,Impact,"Is any data on the economic impact (e.g. GDP, employment, productivity, innovation,  new businesses created etc.) of open data available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please specify what kind of data source proves this impact and provide the URLs to this data.",yes,20.0,"Yes, there is evidence of data on the economic impact of open data in Belgium from authoritative sources and sector assessments. 1. According to official FAQ information from the Belgian federal open data portal, the technology industry federation Agoria estimated the potential net economic gain of opening public sector data at 900 million euros (circa 2013). This figure reflects expected benefits in areas such as innovation, business reuse of data, and efficiency improvements. 2. The federal coalition agreement for 2025-2029 explicitly recognizes open data as a driver for innovation, economic growth, transparency, and participation. It commits to strengthening the open data strategy to maximize availability of government data for citizens and businesses, further confirming the importance attributed to economic impacts. 3. The Belgian open data strategy embraces key measures aimed at enabling free reuse to stimulate innovative applications and economic development, including technical formats for ease of reuse and proactive data release policies. 4. While no single systematic impact study or report is specifically referenced, the combination of sector-estimated economic values, government strategic commitments, and policy frameworks collectively constitute documented evidence that Belgium monitors and supports the economic effects of open data. For further details and official reference, see the Belgian federal open data portal FAQ and the federal coalition agreement 2025-2029:
https://data.gov.be/en/documentation/frequently-asked-questions
https://www.belgium.be/sites/default/files/resources/publication/files/Accord_gouvernemental-Bart_De_Wever_fr.pdf

## Sources
(1): ACCORD DE COALITION FÉDÉRALE 2025-2029
https://www.belgium.be/sites/default/files/resources/publication/files/Accord_gouvernemental-Bart_De_Wever_fr.pdf
(2): Concertation Portails de données ouvertes
https://data.gov.be/sites/default/files/content/opendataportals_201904_fr.pdf
(3): Frequently Asked Questions | Data.gov.be
https://data.gov.be/en/documentation/frequently-asked-questions
(4): Kamer stemt morgen ambitieuze open data-wet | Data.gov.be
https://data.gov.be/nl/news/kamer-stemt-morgen-ambitieuze-open-data-wet
(5): Questions fréquentes | Data.gov.be
https://data.gov.be/fr/documentation/questions-frequentes",0.9,sufficient,prepared_main_pipeline,"{'yes': 20.0, 'no': 0.0, ""i don't know"": 0.0}","{'yes': 20, 'no': 0, ""i don't know"": 0}"
Belgium,I9,Impact,"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.",no,0.0,"No, there is no clear or direct evidence in the available sources that public bodies in Belgium have performed activities such as consultations, workshops, surveys, engagement events, or user-needs assessments specifically in the past year to better understand reusers' needs with the goal of stimulating the reuse of open data. The documents provided describe the legal framework, the existence of open data portals, data types, licensing and reuse legislation, as well as some open data examples and general reuse benefits, but do not mention any recent targeted initiatives or activities explicitly aimed at gathering or analyzing feedback from reusers or engaging with them to foster reuse. The evidence mainly outlines the framework and the presence of data, rather than active measures to monitor or stimulate reuse based on reuser-input. Therefore, the best supported and most accurate response is ""no.""

## Sources
(1): Open Data
https://data.gov.be/sites/default/files/content/fedax-opendata_20230417_fr.pdf
(2): Centraal Informatiepunt Data Governance Act - BOSA
http://bosa.belgium.be/nl/services/centraal-informatiepunt-data-governance-act
(3): Open data: juridisch advies - BOSA - Belgium.be
http://bosa.belgium.be/nl/services/open-data-juridisch-advies
(4): Concertation Portails de données ouvertes
https://data.gov.be/sites/default/files/content/opendataportals_201904_fr.pdf
(5): Open Data Best Practices
https://data.gov.be/sites/default/files/content/opendatabestpractices_202304_nl.pdf",4.0,partial,prepared_main_pipeline,"{'yes': 40.0, 'no': 0.0, ""i don't know"": 0.0}","{'yes': 40, 'no': 0, ""i don't know"": 0}"
Belgium,P1,Policy,"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.",yes,40.0,"Yes, Belgium has a national open data policy that includes legislation for the transposition of the EU Open Data Directive. 1) The legal framework is established by several formal instruments: the Ordinance of 27 October 2016 aiming to establish an open data policy, and its subsequent update by the Ordinance of 10 December 2021, which transposes the EU Directive 2019/1024 (the Open Data Directive) concerning open data and the reuse of public sector information. 2) Additionally, regional legislation such as the order from the Brussels-Capital Government dated 1 February 2018 executes the 2016 ordinance and transposes the 2013/37/EU Directive. 3) The legislation is complemented by relevant decrees in Wallonia and supports a comprehensive national approach to open data governance. This framework is documented officially on data.gov.be under the legal framework section (https://data.gov.be/en/documentation/legal-framework). The legal basis is thus clear and current, ensuring Belgium implements the EU open data directive at both federal and regional levels through formal laws and ordinances. This robust legal underpinning supports Belgium’s ongoing open data strategy and governance initiatives.

## Sources
(1): Legal framework | Data.gov.be
https://data.gov.be/en/documentation/legal-framework
(2): Overzicht van subsidies
https://bosa.belgium.be/sites/default/files/content/documents/2024%2007%2005%20-%20SR%20Subsidies%20-%20Rapport%20(finaal).pdf
(3): Concertation Portails de données ouvertes
https://data.gov.be/sites/default/files/content/opendataportals_201904_fr.pdf
(4): FEDERAAL REGEERAKKOORD 2025-2029
https://www.belgium.be/sites/default/files/resources/publication/files/Regeerakkoord-Bart_De_Wever_nl.pdf",95.0,sufficient,prepared_main_pipeline,"{'yes': 40.0, 'no': 0.0, 'other': 40.0}","{'yes': 40, 'no': 0, 'other': 40}"
Belgium,P13,Policy,"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model",yes,40.0,"Yes, Belgium has a governance structure that enables the participation and inclusion of various open data stakeholders. This is reflected in the establishment of the federal Open Data Taskforce, which includes the Federal Public Service (FPS) Policy and Support (BOSA) and functions as a coordinating and advisory body on open data matters. The taskforce supports data governance by stimulating the publication and reuse of administrative documents and organizing intergovernmental consultations, thus fostering collaboration among government agencies. The governance framework is established by laws such as the Royal Decree of 2 June 2019 and related legal provisions, which specify the roles and responsibilities of this committee. The FPS BOSA handles the chairmanship and secretariat of the Open Data Committee, further institutionalizing the coordination mechanism for open data governance. Moreover, legal requirements oblige various public entities to publish open data and allow the taskforce to provide advice on licensing and data publishing, ensuring stakeholder involvement in governance and operational aspects. Additionally, the federal coalition agreement emphasizes the reinforcement of the open data strategy to maximize data availability while respecting privacy regulations, highlighting ministerial coordination and cooperation with data protection authorities. These structures collectively create an ecosystem where multiple stakeholders contribute to and oversee open data policies and practices in Belgium.

## Sources
(1): Questions fréquentes | Data.gov.be
https://data.gov.be/fr/documentation/questions-frequentes
(2): Justel databank
https://www.ejustice.just.fgov.be/eli/besluit/2025/11/06/2025008782/justel
(3): ACCORD DE COALITION FÉDÉRALE 2025-2029
https://www.belgium.be/sites/default/files/resources/publication/files/Accord_gouvernemental-Bart_De_Wever_fr.pdf
(4): Open Data Best Practices
https://data.gov.be/sites/default/files/content/opendatabestpractices_202304_nl.pdf
(5): Open data: juridisch advies - BOSA - Belgium.be
http://bosa.belgium.be/nl/services/open-data-juridisch-advies",0.9,sufficient,prepared_main_pipeline,"{'yes': 40.0, 'no': 0.0}","{'yes': 40, 'no': 0}"
Belgium,P16,Policy,"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.",the majority of public bodies,15.0,"Public bodies at the local and regional levels in Belgium actively engage in open data initiatives, as evidenced by the presence of a federated open data portal that links over 15,000 datasets from federal, regional, and local governments. This indicates that open data activities are not limited to just a few entities but span a broad range of public bodies. The national framework supporting these initiatives includes legislation transposing the EU Open Data Directive into Belgian law and coordinated strategies involving various governmental tiers, demonstrating structured support for open data publication beyond just federal agencies. Furthermore, ongoing efforts to create uniform procedures and cooperation agreements across federated entities reflect a commitment to integrating open data practices widely. While the evidence does not confirm every single local or regional public body participates, the breadth of datasets and the institutional frameworks strongly support that the majority of such bodies are involved in open data publishing and management. Therefore, ""the majority of public bodies"" best reflects the extent of open data initiatives at local and regional levels in Belgium under the provided evidence.

## Sources
(1): Centraal Informatiepunt Data Governance Act - BOSA
http://bosa.belgium.be/nl/services/centraal-informatiepunt-data-governance-act
(2): Open data: juridisch advies - BOSA - Belgium.be
http://bosa.belgium.be/nl/services/open-data-juridisch-advies
(3): Open Data Best Practices
https://data.gov.be/sites/default/files/content/opendatabestpractices_202304_nl.pdf
(4): Concertation Portails de données ouvertes
https://data.gov.be/sites/default/files/content/opendataportals_201904_fr.pdf
(5): ACCORD DE COALITION FÉDÉRALE 2025-2029
https://www.belgium.be/sites/default/files/resources/publication/files/Accord_gouvernemental-Bart_De_Wever_fr.pdf",0.85,sufficient,prepared_main_pipeline,"{'all public bodies': 20.0, 'the majority of public bodies': 15.0, 'approximately half of the public bodies': 10.0, 'few public bodies': 5.0, 'none of the public bodies': 0.0, 'not applicable': 20.0}","{'all public bodies': 20, 'the majority of public bodies': 15, 'approximately half of the public bodies': 10, 'few public bodies': 5, 'none of the public bodies': 0, 'not applicable': 20}"
Belgium,P2,Policy,"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.",yes,40.0,"Yes, Belgium has a national open data strategy documented at the federal level. The Coalition Agreement 2025-2029 explicitly states that the federal open data strategy will be pursued and strengthened to maximize availability of public sector data to citizens and businesses under privacy regulations such as the GDPR. It mentions the creation of a cooperation agreement among competent ministers and data protection authorities to support this strategy. Furthermore, the website data.gov.be highlights a comprehensive open data approach with about 15 key strategic elements designed to fully exploit the economic potential of open data. This federal strategy emphasizes free reuse without attribution, prioritizes formats that facilitate reusability, promotes proactive data publication, and ensures continuity and operational embedding of open data responsibilities across government bodies. These elements collectively form a clear national-level open data strategy roadmap with strategic objectives, implementation actions, and governance mechanisms. Key reference documents:
1. Coalition Agreement 2025-2029 (https://www.belgium.be/sites/default/files/resources/publication/files/Accord_gouvernemental-Bart_De_Wever_fr.pdf) outlines the legal and strategic basis for the renewed open data strategy.
2. Data.gov.be news article explaining the 15 strategic lines and practical implementation measures (https://data.gov.be/nl/news/kamer-stemt-morgen-ambitieuze-open-data-wet). Thus, the evidence clearly supports that Belgium has a current, explicit national open data strategy including defined objectives, measures, timelines, and governance frameworks.

## Sources
(1): ACCORD DE COALITION FÉDÉRALE 2025-2029
https://www.belgium.be/sites/default/files/resources/publication/files/Accord_gouvernemental-Bart_De_Wever_fr.pdf
(2): Concertation Portails de données ouvertes
https://data.gov.be/sites/default/files/content/opendataportals_201904_fr.pdf
(3): Open data: juridisch advies - BOSA - Belgium.be
http://bosa.belgium.be/nl/services/open-data-juridisch-advies
(4): Centraal Informatiepunt Data Governance Act - BOSA
http://bosa.belgium.be/nl/services/centraal-informatiepunt-data-governance-act
(5): Kamer stemt morgen ambitieuze open data-wet | Data.gov.be
https://data.gov.be/nl/news/kamer-stemt-morgen-ambitieuze-open-data-wet",0.95,sufficient,prepared_main_pipeline,"{'yes': 40.0, 'no': 0.0, 'not applicable': 40.0}","{'yes': 40, 'no': 0, 'not applicable': 40}"
Belgium,P22,Policy,"Do data publication plans exist at public body level?

For Explanation:
* If yes, please provide the URL and briefly highlight the key aspects covered.",yes,20.0,"Yes, data publication plans exist at the public body level in Belgium. This is evidenced by the federal open data strategy and policy framework supporting public bodies in systematically publishing data. The strategy aligns with the EU Directive 2019/1024, mandating that public administrative documents be made available in digital, open, and machine-readable formats adhering to open standards, including the use of standardized metadata and model licenses such as Creative Commons. Furthermore, official guidance such as the “Open Data Best Practices” document emphasizes the obligation of public bodies to make datasets freely and easily available and integrates processes for automated metadata harvesting to ensure comprehensive publication across public entities. The federal open data portal https://data.gov.be serves as the central platform aggregating links and metadata from datasets provided by various government institutions, reinforcing structured and planned data publication efforts across public bodies. These elements collectively constitute explicit data publication planning and obligations for public bodies at the federal level in Belgium.

## Sources
(1): Justel databank
https://www.ejustice.just.fgov.be/eli/besluit/2025/11/06/2025008782/justel
(2): Open Data Best Practices
https://data.gov.be/sites/default/files/content/opendatabestpractices_202304_nl.pdf
(3): plan coordonne dans le domaine de l'intelligence artificielle
https://bosa.belgium.be/sites/default/files/content/documents/DTdocs/AI/PlanCoordonn%C3%A9EUonAI.pdf
(4): Concertation Portails de données ouvertes
https://data.gov.be/sites/default/files/content/opendataportals_201904_fr.pdf
(5): Federale open data-strategie | Data.gov.be
https://data.gov.be/nl/news/federale-open-data-strategie",90.0,sufficient,prepared_main_pipeline,"{'yes': 20.0, 'no': 0.0}","{'yes': 20, 'no': 0}"
Belgium,P24,Policy,"Are there processes to ensure that the open data policies/strategy previously mentioned are updated and revised as needed?

For explanation:
* If yes, please describe the process and any recent updates made to strategy/policy",yes,20.0,"Yes, Belgium has established legal and governance frameworks that imply processes for updating and revising its open data policies and strategies. Firstly, the open data policy is codified through various legal instruments such as the Ordinance of 27 October 2016 and its modifications through subsequent ordinances and decrees, including the ordinance of 10 December 2021 that implements the EU Directive 2019/1024 on open data and the reuse of public sector information. These modifications indicate an ongoing process of review and updating to align with evolving European legislation. Secondly, at the federal level, the open data strategy is actively pursued and reinforced within governmental coalition agreements (e.g., the Federal Coalition Agreement 2025-2029), which explicitly mention plans to continue and strengthen open data policies to maximize data availability while respecting privacy laws. Furthermore, collaboration mechanisms involving competent ministers, data protection authorities, and oversight commissions are set up to conclude cooperation agreements, demonstrating a structured governance approach to managing policy updates. While explicit procedural steps for routine updates are not described in detail in the evidence, the existence of amended laws, continuous strategic reinforcement in policy agreements, and inter-institutional cooperation suggest formal and ongoing processes to keep the open data policy current and responsive to new requirements.

## Sources
(1): Legal framework | Data.gov.be
https://data.gov.be/en/documentation/legal-framework
(2): Overzicht van subsidies
https://bosa.belgium.be/sites/default/files/content/documents/2024%2007%2005%20-%20SR%20Subsidies%20-%20Rapport%20(finaal).pdf
(3): ACCORD DE COALITION FÉDÉRALE 2025-2029
https://www.belgium.be/sites/default/files/resources/publication/files/Accord_gouvernemental-Bart_De_Wever_fr.pdf
(4): Justel databank
https://www.ejustice.just.fgov.be/eli/besluit/2025/11/06/2025008782/justel
(5): Open data: juridisch advies - BOSA - Belgium.be
http://bosa.belgium.be/nl/services/open-data-juridisch-advies",0.9,sufficient,prepared_main_pipeline,"{'yes': 20.0, 'no': 0.0}","{'yes': 20, 'no': 0}"
Belgium,P3,Policy,"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.",yes,20.0,"Yes, Belgium has open data policies and strategies at the regional and local levels. While the national framework transposes EU directives on open data and reuse of public sector information, regional legislations also exist. For example, the Brussels-Capital Region has an ordinance dated 27 October 2016 and an implementing order from 1 February 2018 establishing an open data policy, which complies with EU Directive 2013/37/EU and has been adapted to subsequent EU rules. Similarly, Wallonia passed a decree on 24 November 2022 on the dissemination and reuse of public sector information, establishing a regional open data policy framework. These regional laws are legally distinct from the federal regulations and ensure governance of open data specifically at the regional level, supplementing the federal open data initiatives. Furthermore, operational open data portals such as Datastore.brussels demonstrate implementation at the regional/local level. These examples confirm that open data policies/strategies are present and active at non-national tiers within Belgium.

## Sources
(1): Overzicht van subsidies
https://bosa.belgium.be/sites/default/files/content/documents/2024%2007%2005%20-%20SR%20Subsidies%20-%20Rapport%20(finaal).pdf
(2): ACCORD DE COALITION FÉDÉRALE 2025-2029
https://www.belgium.be/sites/default/files/resources/publication/files/Accord_gouvernemental-Bart_De_Wever_fr.pdf
(3): Open data: juridisch advies - BOSA - Belgium.be
http://bosa.belgium.be/nl/services/open-data-juridisch-advies
(4): Legal framework | Data.gov.be
https://data.gov.be/en/documentation/legal-framework
(5): Centraal Informatiepunt Data Governance Act - BOSA
http://bosa.belgium.be/nl/services/centraal-informatiepunt-data-governance-act",95.0,sufficient,prepared_main_pipeline,"{'yes': 20.0, 'no': 0.0, 'not applicable': 20.0}","{'yes': 20, 'no': 0, 'not applicable': 20}"
Belgium,P4,Policy,"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.",no,0.0,"No, the available evidence does not clearly indicate that Belgium's national open data strategy or policy includes a specific action plan with concrete measures, milestones, or an operational delivery plan focused on open data implementation. The Federal Coalition Agreement 2025-2029 mentions a Federal Action Plan for administrative simplification (Federaal Actieplan Administratieve Vereenvoudiging), primarily targeting the business sector, which might touch on data or digital issues broadly, but there is no direct reference or detail about targeted open data measures within an open data policy framework. Other documents relate to broader strategic or regulatory topics such as AI coordination, health data governance, and financial strategic plans, but none explicitly describe an open data action plan with implementation measures. Therefore, despite references to administrative simplification efforts and strategic planning in various domains, no specific operational open data action plan is identified in the presented evidence.

## Sources
(1): FEDERAAL REGEERAKKOORD 2025-2029
https://www.belgium.be/sites/default/files/resources/publication/files/Regeerakkoord-Bart_De_Wever_nl.pdf
(2): plan coordonne dans le domaine de l'intelligence artificielle
https://bosa.belgium.be/sites/default/files/content/documents/DTdocs/AI/PlanCoordonn%C3%A9EUonAI.pdf
(3): EXPOSÉ D'ORIENTATION POLITIQUE (*) ...
https://diplomatie.belgium.be/sites/default/files/2022-10/EOP-Beleidsverklaring-Hadja-Lahbib-oktober-2022.pdf
(4): GEZONDHEIDS(ZORG)DATA-AGENTSCHAP
https://www.hda.belgium.be/sites/default/files/documents/2023-11/HDA_BC_23_1-%20GDA%20-%20Krijtlijnen%20van%20het%20agentschap%20(NL).pdf
(5): Assessment report Spending reviews. - BOSA
https://bosa.belgium.be/sites/default/files/publications/documents/Assessment%20report%20spending%20reviews%20v2024-12-20.pdf
(6): Fr_AF_Délibération.dotm
https://finance.belgium.be/sites/default/files/d%C3%A9lib%C3%A9ration_AF_019_2018.pdf
(7): PLAN STRATÉGIQUE 2025-2029
https://fin.belgium.be/sites/default/files/media/documents/Plan%20strat%C3%A9gique%202025-2029.pdf",95.0,sufficient,prepared_main_pipeline,"{'yes': 20.0, 'no': 0.0}","{'yes': 20, 'no': 0}"
Bulgaria,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",no,0.0,"No, there is no explicit or near-explicit formal definition of open data reuse found in the examined Bulgarian national policy, legislation, or official documentation. The available evidence includes references to relevant laws and regulations such as the Law on Access to Public Information (Закон за достъп до обществена информация), ministerial decisions, and the National Open Data Portal framework, which regulate conditions and procedures for data publication and reuse under public sector provisions. However, these legal and regulatory documents do not provide a clear, standalone definition of open data reuse. Instead, they primarily describe frameworks for access, publication formats, conditions for reuse, and related administrative rules. The documents refer broadly to principles of openness and efficiency and mention reuse conditions, for example, that reuse may be allowed at lower or no fees for certain categories such as research or non-commercial use, but do not explicitly define the concept of open data reuse itself as a structured, formal definition. Consequently, no formal or clear definitional text on open data reuse was identified within official Bulgarian sources. Thus, the best supported official response is “no.”

## Sources
(1): Izsledvane_EP-001.p65
https://www.ipa.government.bg/sites/default/files/european_good_practices.pdf
(2): РЕГЛАМЕНТИ
https://www.mtc.government.bg/sites/default/files/regulation_2022_868_data_governance_act-bg.pdf
(3): Национално законодателство - Министерство на електронното управление
https://egov.government.bg/wps/portal/ministry-meu/home/data/open-data/legislation/opendata-legal-national/
(4): Chapter One GENERAL DISPOSITIONS
https://www.mtc.government.bg/sites/default/files/access_to_public_information_act.pdf
(5): Отворени данни - За потребителя
http://www.mrrb.government.bg/bg/za-potrebitelya/otvoreni-danni/",9.0,sufficient,prepared_main_pipeline,"{'yes': 20.0, 'no': 0.0}","{'yes': 20, 'no': 0}"
Bulgaria,I10,Impact,"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?",yes,20.0,"Yes, public bodies in Bulgaria have developed a systematic approach to gathering reuse cases of public sector information. The State Agency for Electronic Governance (СДейства „Електронно управление"") compiles a consolidated report every three years on the availability of information for reuse provided by public sector organizations. This process includes annual submissions by public sector organizations to the administration of the Council of Ministers, which detail the circumstances of reuse, the conditions under which information is provided, and legal protection practices. These reports are published publicly and submitted to the European Commission, indicating a formal and recurring collection and monitoring process. The structured reporting system, mandated by the law for access to public information, serves as a method for systematically gathering data on reuse instances and supports ongoing policy oversight. This approach demonstrates an institutionalized mechanism rather than isolated examples, confirming systematic reuse case collection at the national level.

## Sources
(1): ЗАКОН за достъп до обществена информация
https://www.me.government.bg/bg/files/download?hash=f71cda973a7d9c99817eda1132617ac40c9bc63f
(2): ЗАКОН за достъп до обществена информация
https://www.me.government.bg/files/download?hash=f71cda973a7d9c99817eda1132617ac40c9bc63f
(3): от 30 април 2026 година
https://iisda.government.bg/annual_report_file/703_4605
(4): РЕГЛАМЕНТИ
https://www.mtc.government.bg/sites/default/files/regulation_2022_868_data_governance_act-bg.pdf
(5): Untitled source
https://www.ipa.government.bg/sites/default/files/metodika_korektura_all.pdf",100.0,sufficient,prepared_main_pipeline,"{'yes': 20.0, 'no': 0.0, ""i don't know"": 0.0}","{'yes': 20, 'no': 0, ""i don't know"": 0}"
Bulgaria,I12,Impact,"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",no,0.0,"No comprehensive or systematic data directly quantifying the impact of open data on governmental challenges such as efficiency, effectiveness, transparency, or decision-making capacity is evident in the provided evidence for Bulgaria. While several documents highlight the importance of open data for transparency and governance, and frameworks or indicators are mentioned as relevant tools for evaluating these effects internationally and conceptually, there is no clear or concrete study, impact assessment, or official investigation specific to Bulgaria that presents quantifiable results or broader effects from the reuse of open data. For example, the 2014 IPA report discusses the potential frameworks for assessing the economic and other impacts of open data and references international studies and indicator sets, but does not provide Bulgaria-specific impact data or outcomes. Similarly, other sources mention the role of data in policy monitoring and the importance of impact assessment generally, but do not showcase systematic impact evidence linked explicitly to open data reuse in government. Therefore, despite recognition of open data’s value and existing efforts to train government officials in impact assessment, no direct Bulgaria-based documented impact data or studies quantifying the benefits of open data on governance have been found in the reviewed materials.

## Sources
(1): Отворени данни и прозрачно управление - ИПА
https://www.ipa.government.bg/sites/default/files/open_data_and_open_government.pdf
(2): Untitled source
https://www.ipa.government.bg/sites/default/files/final_data_report_ipa2024.pdf
(3): ПРОГРАМА ЗА СЛЕДДИПЛОМНА КВАЛИФИКАЦИЯ ПО ОЦЕНКА НА ВЪЗДЕЙСТВИЕТО
https://www.ipa.government.bg/sites/default/files/impact_assessment_postgraduate_study_final.pdf
(4): КАТАЛОГ 2023
https://www.ipa.government.bg/sites/default/files/katalog_ipa_2023.pdf
(5): Интервю с Антон Герунов, началник на политическия кабинет на Заместник министър-председателя по коалиционната политика и държавната администрация | ИНСТИТУТ ПО ПУБЛИЧНА АДМИНИСТРАЦИЯ
https://www.ipa.government.bg/bg/novini/intervyu-s-anton-gerunov-nachalnik-na-politicheskiya-kabinet-na-zamestnik-ministr-0
(6): Конференция „Отворени данни и прозрачно управление“ | ИНСТИТУТ ПО ПУБЛИЧНА АДМИНИСТРАЦИЯ
https://www.ipa.government.bg/bg/novini/konferenciya-otvoreni-danni-i-prozrachno-upravlenie",0.9,sufficient,prepared_main_pipeline,"{'yes': 20.0, 'no': 0.0, ""i don't know"": 0.0}","{'yes': 20, 'no': 0, ""i don't know"": 0}"
Bulgaria,I17,Impact,"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",no,0.0,"No systematic evidence or documented data sources specifically quantifying the impact of open data reuse on social challenges such as inequality, healthcare, or education in Bulgaria are available in the provided materials. While there are references to evaluation indicators and frameworks for assessing effects of open data initiatives (including social effects) in European Commission studies and Open Data Research Network frameworks, these are cited as general methodologies rather than reporting concrete impact studies or assessments conducted within Bulgaria itself. The material also mentions exploratory work and conferences discussing the benefits and potential monitoring frameworks for open data, but no actual impact assessments or research results quantifying social outcomes were presented. Therefore, although foundations for impact measurement exist conceptually, no concrete impact data or systematic investigations evidencing the social effects of open data reuse have been found for Bulgaria in the reviewed evidence.

## Sources
(1): Untitled source
https://www.ipa.government.bg/sites/default/files/open_data_and_open_government.pdf
(2): Отворени данни и прозрачно управление - ИПА
https://www.ipa.government.bg/sites/default/files/open_data_and_open_government.pdf
(3): Untitled source
https://www.ipa.government.bg/sites/default/files/final_data_report_ipa2024.pdf
(4): Конференция „Отворени данни и прозрачно управление“ | ИНСТИТУТ ПО ПУБЛИЧНА АДМИНИСТРАЦИЯ
https://www.ipa.government.bg/bg/novini/konferenciya-otvoreni-danni-i-prozrachno-upravlenie
(5): Интервю с Антон Герунов, началник на политическия кабинет на Заместник министър-председателя по коалиционната политика и държавната администрация | ИНСТИТУТ ПО ПУБЛИЧНА АДМИНИСТРАЦИЯ
https://www.ipa.government.bg/bg/novini/intervyu-s-anton-gerunov-nachalnik-na-politicheskiya-kabinet-na-zamestnik-ministr-0
(6): Общоевропейски портал за отворени данни
https://www.mtc.government.bg/bg/category/214/obschoevropeyski-portal-za-otvoreni-danni",0.9,sufficient,prepared_main_pipeline,"{'yes': 20.0, 'no': 0.0, ""i don't know"": 0.0}","{'yes': 20, 'no': 0, ""i don't know"": 0}"
Bulgaria,I2,Impact,"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.",yes,20.0,"Yes, Bulgaria has processes in place to monitor the level of reuse of its open data. These are reflected in specific frameworks and methodologies that identify key indicators to measure the impact of open data initiatives, including their reuse. For example, according to the report from the Institute of Public Administration, international research and best practices have influenced the design of monitoring indicators that track economic, social, cultural, and organizational effects related to open data reuse. Furthermore, monitoring mechanisms also involve data visualization tools such as Tableau to present reusable data transparently on public portals. The administrative reform project supported by the European Commission, executed by PricewaterhouseCoopers, also illustrates an institutional approach towards continuous monitoring and evaluation of open data processes (https://www.ipa.government.bg/sites/default/files/open_data_and_open_government.pdf and https://www.ipa.government.bg/sites/default/files/sbornik_gp_2021.pdf). In addition, survey data from government administrations shows quantifiable evidence of reuse, with about 30.58% of respondents in administration reporting using reused data in their core activities, suggesting a concrete basis for monitoring reuse levels regularly (https://www.ipa.government.bg/sites/default/files/final_data_report_ipa2024.pdf). Together, these demonstrate an established practice of using indicators, reports, and visualization platforms to monitor and promote the reuse of open data in Bulgaria.

## Sources
(1): Untitled source
https://www.ipa.government.bg/sites/default/files/open_data_and_open_government.pdf
(2): Отворени данни и прозрачно управление - ИПА
https://www.ipa.government.bg/sites/default/files/open_data_and_open_government.pdf
(3): Конференция „Отворени данни и прозрачно управление“ | ИНСТИТУТ ПО ПУБЛИЧНА АДМИНИСТРАЦИЯ
https://www.ipa.government.bg/bg/novini/konferenciya-otvoreni-danni-i-prozrachno-upravlenie
(4): ДОБРИ ПР КТИКИ
https://www.ipa.government.bg/sites/default/files/sbornik_gp_2021.pdf
(5): от 30 април 2026 година
https://iisda.government.bg/annual_report_file/703_4605
(6): Untitled source
https://www.ipa.government.bg/sites/default/files/final_data_report_ipa2024.pdf",90.0,sufficient,prepared_main_pipeline,"{'yes': 20.0, 'no': 0.0, ""i don't know"": 0.0}","{'yes': 20, 'no': 0, ""i don't know"": 0}"
