country,question_id,dimension,question,response_scoring,final_answer_selected,score_suggestion,justification_generated,confidence,evidence_sufficiency,retrieved_evidence_count
Austria,P2,Policy,"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.","{'yes': 40, 'no': 0, 'not applicable': 40}",yes,40.0,"Austria has established a national open data strategy as part of its broader digital government and transparency initiatives. The strategy typically outlines objectives such as improving public sector data availability, reuse of data for innovation, and establishing clear governance mechanisms. Key highlights often include alignment with EU open data directives, timelines for data publication, and measures to enhance data quality and user engagement. Although the exact URL is not provided here to avoid fabrication, Austria's open data initiatives are usually documented on official government digital or data portals.",0.8,partial,0
Austria,P22,Policy,"Do data publication plans exist at public body level?

For Explanation:
* If yes, please provide the URL and briefly highlight the key aspects covered.","{'yes': 20, 'no': 0}",yes,20.0,Austria has established an open data ecosystem supported by national policies that encourage public bodies to create and implement data publication plans. These plans typically outline schedules for data release and formal obligations to publish datasets to enhance transparency and data availability.,0.8,partial,0
Austria,P24,Policy,"Are there processes to ensure that the open data policies/strategy previously mentioned are updated and revised as needed?

For explanation:
* If yes, please describe the process and any recent updates made to strategy/policy","{'yes': 20, 'no': 0}",yes,20.0,"Austria, as a country with an advanced public administration and commitment to digital governance, typically includes processes for regularly reviewing and updating open data policies to ensure alignment with technological advancements and evolving public needs. These processes are often part of broader governance frameworks for digital strategies, which incorporate stakeholder feedback and periodic assessments to maintain relevance.",0.7,partial,0
Austria,P3,Policy,"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.","{'yes': 20, 'no': 0, 'not applicable': 20}",yes,20.0,"Austria, being a federal country with a tradition of decentralized governance, typically encourages regions and local administrations to adopt open data initiatives aligning with national strategies. While national-level open data policies exist, several Austrian states (Bundesländer) and major cities have developed their own open data policies or strategies to promote transparency and data sharing at the regional or local level. These local policies complement national efforts and aim to address specific regional or municipal needs.",0.7,partial,0
Austria,P4,Policy,"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.","{'yes': 20, 'no': 0}",yes,20.0,"Austria has a well-developed national open data strategy which typically includes an action plan outlining specific measures to promote open data. These measures often involve improving data accessibility, enhancing data quality, establishing standards, fostering inter-agency coordination, and promoting reuse of public sector information. Given Austria's commitment to EU digital policies and its track record in digital government initiatives, it is reasonable to affirm the existence of an action plan with clear implementation steps.",0.8,partial,0
Belgium,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.","{'yes': 20, 'no': 0}",no,0.0,"Belgium, while advanced in open data initiatives, typically relies on broader EU definitions or indirect descriptions related to open data reuse rather than an explicit, standalone national definition. Therefore, it is reasonable to conclude there is no specific, explicit definition of open data reuse provided at the country level.",0.7,partial,0
Belgium,I10,Impact,"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?","{'yes': 20, 'no': 0, ""i don't know"": 0}",no,0.0,"Based on general knowledge of Belgium's open data initiatives, while there are platforms and mechanisms promoting reuse, there is no widely documented evidence that public bodies have established a systematic process specifically for gathering reuse cases across the country. Reuse instances are often reported anecdotally or through individual projects rather than through a coordinated, standardized system.",0.7,partial,0
Belgium,I12,Impact,"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.","{'yes': 20, 'no': 0, ""i don't know"": 0}",i don't know,0.0,"While Belgium has active open data initiatives and publishes many datasets at federal and regional levels, concrete documented assessments quantifying the impact of open data on governmental efficiency, transparency, or decision-making are not widely known or publicly available based on general prior knowledge. Therefore, it is safer to respond with uncertainty rather than assert the existence of systematic and quantifiable impact data.",0.0,weak,0
Belgium,I17,Impact,"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.","{'yes': 20, 'no': 0, ""i don't know"": 0}",no,0.0,"While Belgium has active open data initiatives and some case studies illustrating potential benefits, there is a lack of well-documented, systematic research studies or impact assessments quantifying the social impact of open data reuse on challenges such as inequality, healthcare, or education. Consequently, no comprehensive data sources are available to demonstrate this impact definitively.",0.7,weak,0
Belgium,I2,Impact,"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.","{'yes': 20, 'no': 0, ""i don't know"": 0}",yes,20.0,"Belgium, as a country with an established open data ecosystem, typically implements processes to monitor reuse, including tracking downloads, citations, and user engagement through portals at the federal and regional levels. These processes help assess the impact and encourage further openness. While precise details vary by region, monitoring frameworks generally exist.",0.8,partial,0
Belgium,I27,Impact,"Is any data on the economic impact (e.g. GDP, employment, productivity, innovation,  new businesses created etc.) of open data available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please specify what kind of data source proves this impact and provide the URLs to this data.","{'yes': 20, 'no': 0, ""i don't know"": 0}",i don't know,0.0,"While Belgium has various open data initiatives and the government supports data transparency, there is no widely known or explicitly referenced comprehensive economic impact study quantifying aspects like GDP contribution, employment, or innovation from open data reuse at the country level. Without specific documented evidence or clear mention of systematic impact assessments, it is prudent to respond conservatively with 'i don't know.'",0.6,weak,0
Belgium,I9,Impact,"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.","{'yes': 40, 'no': 0, ""i don't know"": 0}",yes,40.0,"Belgium has a well-established tradition of promoting open data and engaging with stakeholders, including reusers. Public bodies in Belgium typically conduct activities such as surveys, consultations, and workshops aimed at understanding the needs of data reusers. These activities help tailor open data initiatives to actual demand, improve data usability, and foster a more vibrant reuse ecosystem.",0.7,partial,0
Belgium,P1,Policy,"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.","{'yes': 40, 'no': 0, 'other': 40}",yes,40.0,"Belgium, as an EU Member State, generally adheres to EU directives including the Open Data Directive. The country has established national open data policies and legal frameworks aligned with European regulations to promote data transparency and reuse. These policies typically include the transposition of the EU requirements into national legislation to ensure compliance. Therefore, it is reasonable to affirm the existence of a national open data policy and relevant legislation in Belgium.",4.0,partial,0
Belgium,P13,Policy,"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model","{'yes': 40, 'no': 0}",yes,40.0,"Belgium, as a federal country with multiple levels of government, typically has a governance structure involving various public institutions in the management of open data. The open data governance often includes coordination between federal, regional, and community authorities, with steering committees or working groups that enable stakeholder participation. These structures help coordinate policies, ensure data interoperability, and engage public and private stakeholders, fostering an inclusive environment for open data initiatives.",0.8,partial,0
Belgium,P16,Policy,"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.","{'all public bodies': 20, 'the majority of public bodies': 15, 'approximately half of the public bodies': 10, 'few public bodies': 5, 'none of the public bodies': 0, 'not applicable': 20}",the majority of public bodies,15.0,"Belgium has a decentralized governance structure with significant responsibilities at the regional and local levels, which generally encourages local and regional public bodies to engage in open data initiatives. While not all local/regional bodies might be involved, a considerable number have adopted open data practices to promote transparency and citizen engagement, making it reasonable to conclude that the majority of these public bodies are conducting open data initiatives.",3.0,partial,0
Belgium,P2,Policy,"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.","{'yes': 40, 'no': 0, 'not applicable': 40}",yes,40.0,"Belgium has established national initiatives supporting open data as part of its broader digital government policies, including explicit strategic documents targeting open data. These strategies generally focus on improving data accessibility, interoperability, and reuse across public administrations at federal and regional levels. While the exact strategy URL is not provided here, Belgium’s open data approach is well-documented with clear objectives and action plans within the national and regional digital transformation frameworks.",0.8,partial,0
Belgium,P22,Policy,"Do data publication plans exist at public body level?

For Explanation:
* If yes, please provide the URL and briefly highlight the key aspects covered.","{'yes': 20, 'no': 0}",yes,20.0,"Belgium, as a country with active open data initiatives, generally requires public bodies to have data publication plans or formal mechanisms guiding their data release. These plans typically ensure that public sector organizations manage and publish datasets in a structured and transparent manner, adhering to legal obligations and open data principles. Although exact URLs cannot be provided without retrieval, Belgium’s approach to public data governance and publication reflects the presence of such formal planning at the public body level.",0.7,partial,0
Belgium,P24,Policy,"Are there processes to ensure that the open data policies/strategy previously mentioned are updated and revised as needed?

For explanation:
* If yes, please describe the process and any recent updates made to strategy/policy","{'yes': 20, 'no': 0}",yes,20.0,"Belgium, being an advanced European country with well-established open data initiatives, typically has institutional mechanisms to regularly review and update its open data policies and strategies to reflect technological, legal, and societal changes. Such processes often involve periodic evaluations by relevant government agencies or cross-sector working groups to ensure policy relevance and alignment with international standards and user needs.",0.8,partial,0
Belgium,P3,Policy,"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.","{'yes': 20, 'no': 0, 'not applicable': 20}",yes,20.0,"Belgium is a federal country with significant devolved powers at the regional level, including in areas related to information policy and digital government. The Flemish Region, Wallonia, and Brussels-Capital Region each have their own digital and open data initiatives and strategies aimed at promoting transparency and data reuse locally. Consequently, it is reasonable to conclude that there are open data policies or strategies at regional or local levels in Belgium.",0.8,partial,0
Belgium,P4,Policy,"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.","{'yes': 20, 'no': 0}",yes,20.0,"Belgium, as an EU member state, has typically aligned its open data strategy with broader European digital policies that emphasize actionable plans. Generally, national strategies in Belgium include clear action plans focused on improving open data availability, enhancing data quality, fostering data reuse, and setting milestones for data publication and platform improvement. Such plans usually outline concrete measures like data catalog enhancements, training for public officials, and promoting data-driven innovation.",0.7,partial,0
Bulgaria,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.","{'yes': 20, 'no': 0}",no,0.0,"Based on general knowledge of Bulgaria's open data policies, there is no widely recognized or official explicit definition of open data reuse in the country's national documentation. While Bulgaria supports open data initiatives, explicit definitions of reuse are typically not formalized in public policy statements, leading to a conservative answer.",0.0,weak,0
Bulgaria,I10,Impact,"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?","{'yes': 20, 'no': 0, ""i don't know"": 0}",no,0.0,"Based on general knowledge of Bulgaria's public sector and open data practices, there is no widely documented or established systematic approach by public bodies specifically aimed at gathering reuse cases of open data. While isolated examples or informal collections may exist, a formalized and consistent process across public institutions appears lacking.",0.7,partial,0
Bulgaria,I12,Impact,"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.","{'yes': 20, 'no': 0, ""i don't know"": 0}",no,0.0,"Based on general knowledge, Bulgaria has been making progress in open data initiatives, but there is a lack of publicly available, systematic impact assessments or research studies specifically quantifying the effects of open data on government efficiency, transparency, or decision-making capacity. Hence, no confirmed data sources exist that document these impacts.",0.7,partial,0
Bulgaria,I17,Impact,"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.","{'yes': 20, 'no': 0, ""i don't know"": 0}",,,"A reliable no-RAG answer could not be generated for this question: Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.

## Sources
No retrieved sources (no-RAG baseline).",5.0,weak,0
Bulgaria,I2,Impact,"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.","{'yes': 20, 'no': 0, ""i don't know"": 0}",no,0.0,"Based on general knowledge, Bulgaria has made progress in publishing open data, but it is less clear that there are formalized, systematic processes specifically dedicated to monitoring the level of data reuse. While reuse might be encouraged and some analytics could be available via open data portals, explicit, structured monitoring processes or methodologies for measuring how extensively open data is reused do not appear to be clearly established or widely reported.",0.7,partial,0
Bulgaria,I27,Impact,"Is any data on the economic impact (e.g. GDP, employment, productivity, innovation,  new businesses created etc.) of open data available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please specify what kind of data source proves this impact and provide the URLs to this data.","{'yes': 20, 'no': 0, ""i don't know"": 0}",no,0.0,"To my knowledge, there are no publicly available or widely cited research studies or systematic impact assessments in Bulgaria that quantitatively measure the economic effects of open data reuse, such as on GDP, employment, productivity, or innovation. While open data initiatives exist, documented economic impact data appears limited or not systematically collected.",0.8,partial,0
Bulgaria,I9,Impact,"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.","{'yes': 40, 'no': 0, ""i don't know"": 0}",no,0.0,"Based on general knowledge of Bulgaria's open data initiatives, there is limited public information indicating that specific activities such as consultations, workshops, or surveys have been explicitly launched recently by public bodies to understand reusers' needs. Efforts to stimulate reuse tend to be less visible or structured in such user-focused engagements.",0.6,weak,0
Bulgaria,P1,Policy,"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.","{'yes': 40, 'no': 0, 'other': 40}",yes,40.0,"Bulgaria, as an EU member state, has a national open data policy framework that aligns with the European Union's requirements, including the transposition of the Open Data Directive. This policy typically ensures the availability and reusability of public sector information across government bodies. The policy framework sets out principles and implementation measures for open data publication on national and sectoral levels, supporting transparency and innovation. Although exact document details and URLs are not provided here due to the no-retrieval instruction, Bulgaria's adherence to EU directives strongly implies formal national legislation addressing open data.",0.8,partial,0
Bulgaria,P13,Policy,"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model","{'yes': 40, 'no': 0}",yes,40.0,"Bulgaria has established governance structures for open data that typically involve coordination between government bodies, such as the Ministry of Electronic Governance and sectoral agencies. These structures often include steering groups or committees to ensure stakeholder participation from public institutions, private sector, and civil society, facilitating collaboration and alignment on open data initiatives. Given typical practices in European open data governance, such inclusive mechanisms are likely in place.",0.7,partial,0
Bulgaria,P16,Policy,"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.","{'all public bodies': 20, 'the majority of public bodies': 15, 'approximately half of the public bodies': 10, 'few public bodies': 5, 'none of the public bodies': 0, 'not applicable': 20}",few public bodies,5.0,"In Bulgaria, while there is a national-level interest in open data, the implementation and active engagement of local and regional public bodies in open data initiatives remain limited. Many local authorities have not fully adopted or prioritized open data practices, resulting in relatively few local/regional bodies conducting such initiatives.",3.0,partial,0
Bulgaria,P2,Policy,"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.","{'yes': 40, 'no': 0, 'not applicable': 40}",yes,40.0,"Bulgaria has developed a national open data strategy as part of its broader digital government and transparency initiatives. This strategy outlines objectives to increase government data transparency, improve public sector data accessibility, and promote reuse of open data to foster innovation and citizen engagement. The strategy includes concrete actions and timelines to achieve these goals, aligning with EU open data policies and directives.",0.7,partial,0
Bulgaria,P22,Policy,"Do data publication plans exist at public body level?

For Explanation:
* If yes, please provide the URL and briefly highlight the key aspects covered.","{'yes': 20, 'no': 0}",no,0.0,"Based on general knowledge of Bulgaria's public sector data management practices, there is no widespread evidence of formalized data publication plans at the individual public body level. While national open data initiatives exist, explicit, structured publication plans or mandatory data release schedules set by individual agencies appear limited or undocumented. Thus, it is reasonable to answer conservatively that data publication plans at the public body level do not formally exist.",3.0,weak,0
Bulgaria,P24,Policy,"Are there processes to ensure that the open data policies/strategy previously mentioned are updated and revised as needed?

For explanation:
* If yes, please describe the process and any recent updates made to strategy/policy","{'yes': 20, 'no': 0}",yes,20.0,"In Bulgaria, official policies including those related to open data typically have defined processes for periodic review and updates to ensure alignment with technological advances and user needs. Such processes are commonly incorporated in national digital strategies, which are revised regularly or whenever significant changes occur in the data landscape or legislative environment. This helps maintain policy relevance and fosters ongoing improvements in open data implementation.",0.7,partial,0
Bulgaria,P3,Policy,"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.","{'yes': 20, 'no': 0, 'not applicable': 20}",no,0.0,"While Bulgaria has national-level open data initiatives, there is no widely recognized or formalized open data policy or strategy specifically established at the regional or local government levels. Local open data activities might exist informally, but comprehensive documented policies or strategies are not known to be in place.",0.8,partial,0
Bulgaria,P4,Policy,"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.","{'yes': 20, 'no': 0}",yes,20.0,"Bulgaria has demonstrated commitment to open data through the adoption of national strategies that include concrete action plans. These plans typically outline measures such as establishing open data portals, improving data quality and availability, promoting data interoperability, and encouraging public sector transparency. The inclusion of milestones and implementation steps suggests a structured approach to advancing open data initiatives.",0.7,partial,0
Estonia,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.","{'yes': 20, 'no': 0}",yes,20.0,"Estonia is known for its strong digital governance and transparent data policies. It is highly likely that the country has a formal or near-explicit definition of open data reuse embedded within its open data or e-government strategies to ensure clarity on how data can be used, shared, and repurposed.",0.8,partial,0
Estonia,I10,Impact,"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?","{'yes': 20, 'no': 0, ""i don't know"": 0}",no,0.0,"While Estonia is known for advanced digital government services and strong open data policies, there is no widely recognized, systematic process by public bodies specifically dedicated to gathering reuse cases of open data. Reuse instances may be collected in an ad hoc manner or reported informally but not through a structured or formalized system.",0.7,partial,0
Estonia,I12,Impact,"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.","{'yes': 20, 'no': 0, ""i don't know"": 0}",yes,20.0,"Estonia is widely recognized for its advanced digital governance and open data initiatives. The country tends to monitor and report on the impact of open data on government efficiency, transparency, and decision-making through official studies and impact assessments conducted by government agencies and research institutions. Although exact URLs or specific studies are not provided here, such documentation is known to exist given Estonia's strong emphasis on digital innovation and evidence-based policy.",0.8,partial,0
Estonia,I17,Impact,"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.","{'yes': 20, 'no': 0, ""i don't know"": 0}",no,0.0,"While Estonia is known for its advanced digital infrastructure and open data initiatives, there is limited publicly available documented research or systematic investigations specifically quantifying the social impact of open data on challenges like inequality, healthcare, or education. Most evidence tends to focus on general benefits or case studies rather than comprehensive impact assessments.",0.7,partial,0
Estonia,I2,Impact,"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.","{'yes': 20, 'no': 0, ""i don't know"": 0}",yes,20.0,"Estonia is known for its advanced digital governance and e-government initiatives, which typically include mechanisms to monitor the reuse of open data. The country’s open data ecosystem is managed with attention to tracking data publication and usage to assess impact and guide improvements. As such, it is reasonable to conclude that processes to monitor the level of reuse of open data are in place, even if specific methodologies are not widely publicized.",0.8,partial,0
Estonia,I27,Impact,"Is any data on the economic impact (e.g. GDP, employment, productivity, innovation,  new businesses created etc.) of open data available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please specify what kind of data source proves this impact and provide the URLs to this data.","{'yes': 20, 'no': 0, ""i don't know"": 0}",i don't know,0.0,"While Estonia is known for its advanced digital government and open data initiatives, specific documented and publicly available data quantifying the economic impact of open data, such as GDP contribution, employment effects, or innovation metrics from systematic studies, is not broadly communicated or well known. Without access to explicit studies or reports confirming such quantified impacts, a conservative response is appropriate.",0.0,weak,0
Estonia,I9,Impact,"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.","{'yes': 40, 'no': 0, ""i don't know"": 0}",yes,40.0,"Estonia is generally known for its proactive digital governance approach and emphasis on engaging stakeholders in digital initiatives. It is reasonable to infer that public bodies in Estonia have conducted activities such as consultations, workshops, or surveys to gather input from open data reusers in the past year. Such activities likely help tailor open data offerings to user needs, improving data accessibility and encouraging reuse.",0.7,partial,0
